Area,Numerator,Denominator,Unemployment rate - aged 16+,Conf,Numerator,Denominator,Unemployment rate - aged 16-64,Conf,Numerator,Denominator,Unemployment rate - aged 16-19,Conf,Numerator,Denominator,Unemployment rate - aged 20-24,Conf,Numerator,Denominator,Unemployment rate - aged 25-34,Conf,Numerator,Denominator,Unemployment rate - aged 35-49,Conf,Numerator,Denominator,Unemployment rate males - aged 16+,Conf,Numerator,Denominator,Unemployment rate males - aged 16-64,Conf,Numerator,Denominator,Unemployment rate males - aged 16-19,Conf,Numerator,Denominator,Unemployment rate males - aged 20-24,Conf,Numerator,Denominator,Unemployment rate males - aged 25-34,Conf,Numerator,Denominator,Unemployment rate males - aged 35-49,Conf,Numerator,Denominator,Unemployment rate females - aged 16+,Conf,Numerator,Denominator,Unemployment rate females - aged 16-64,Conf,Numerator,Denominator,Unemployment rate females - aged 16-19,Conf,Numerator,Denominator,Unemployment rate females - aged 20-24,Conf,Numerator,Denominator,Unemployment rate females - aged 25-34,Conf,Numerator,Denominator,Unemployment rate females - aged 35-49,Conf
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lacu:Barking & Dagenham,4900,100300,4.9,2.3,4900,98500,5,2.3,!,2800,!,!,1200,6700,17.6,*,!,25800,!,!,2100,42400,5.1,*,1300,55600,2.4,*,1300,54800,2.4,*,!,2200,!,!,!,3900,!,!,!,13500,!,!,!,22800,!,!,3600,44600,8.1,4.2,3600,43700,8.3,4.3,!,!,!,!,!,2900,!,!,!,12400,!,!,1900,19500,9.6,*
lacu:Barnet,9900,202200,4.9,2.2,9500,193000,4.9,2.2,1400,3900,35.5,*,2000,15500,13.1,*,2900,46600,6.3,*,1600,67900,2.3,*,5500,108100,5.1,*,5100,101600,5,*,!,1500,!,!,2000,9200,22.2,*,!,26100,!,!,!,40400,!,!,4400,94100,4.7,*,4400,91400,4.8,*,!,2400,!,!,!,6400,!,!,1500,20500,7.1,*,!,27500,!,!
lacu:Bexley,3900,127700,3.1,1.7,3900,123800,3.2,1.7,!,4800,!,!,!,8300,!,!,1100,30200,3.5,*,900,47400,1.9,*,1400,65600,2.1,*,1400,64000,2.2,*,!,3000,!,!,!,3300,!,!,!,16300,!,!,!,24800,!,!,2500,62100,4.1,*,2500,59800,4.2,*,!,1800,!,!,!,5000,!,!,1100,13800,7.6,*,!,22600,!,!
lacu:Brent,8300,169200,4.9,2.2,8300,165400,5,2.2,2100,5100,41.1,*,!,15300,!,!,!,47000,!,!,3700,58700,6.3,*,5900,99000,6,3.2,5900,96500,6.1,3.3,2100,3700,56.8,*,!,7900,!,!,!,31000,!,!,1800,31700,5.7,*,2400,70200,3.4,*,2400,68900,3.5,*,!,1400,!,!,!,7400,!,!,!,16000,!,!,1900,27000,7,*
lacu:Bromley,9100,172600,5.3,2.2,9100,168200,5.4,2.3,!,4600,!,!,!,15200,!,!,4400,40400,10.9,*,2900,62400,4.6,*,4000,91300,4.4,*,4000,88500,4.5,*,!,1900,!,!,!,7700,!,!,!,18700,!,!,1700,32400,5.2,*,5100,81300,6.2,*,5100,79800,6.3,*,!,2700,!,!,!,7500,!,!,!,21700,!,!,1200,30000,3.9,*
lacu:Camden,5400,143600,3.8,2,5400,138000,3.9,2.1,!,2800,!,!,!,12600,!,!,!,44800,!,!,2100,43200,4.9,*,2900,80100,3.7,*,2900,77100,3.8,*,!,1700,!,!,!,6900,!,!,!,24900,!,!,#,26900,4.2,*,2500,63500,3.9,*,2500,60900,4.1,*,!,1100,!,!,!,5700,!,!,!,19900,!,!,1000,16200,6,*
lacu:City of London,!,6400,!,!,!,5700,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,#,!,!,!,3900,!,!,!,3300,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!,!,2500,!,!,!,2500,!,!,!,!,!,-,!,!,!,-,!,!,!,-,!,!,!,!
lacu:Croydon,7000,207800,3.4,1.8,7000,198800,3.5,1.8,1700,8300,20.7,*,!,12900,!,!,!,53300,!,!,2300,75000,3,*,4200,105100,4,*,4200,99400,4.2,*,1300,4400,29.5,*,!,6200,!,!,!,25200,!,!,!,38300,!,!,2900,102700,2.8,*,2900,99300,2.9,*,!,3900,!,!,!,6700,!,!,!,28100,!,!,1300,36700,3.6,*
lacu:Ealing,12400,183600,6.8,3.1,11900,178000,6.7,3.1,1800,4500,40.3,*,!,5300,!,!,2900,47500,6.2,*,3900,71000,5.5,*,4200,100300,4.2,*,3700,97600,3.8,*,!,2700,!,!,!,2800,!,!,!,25900,!,!,!,39300,!,!,8200,83300,9.9,5.1,8200,80400,10.2,5.3,!,1800,!,!,!,2500,!,!,#,21600,9.3,*,2400,31700,7.7,*
lacu:Enfield,8000,164900,4.8,2.3,8000,158400,5,2.4,1400,4300,32.1,*,!,12000,!,!,2700,34300,8,*,1400,59500,2.4,*,3600,89800,4,*,3600,86600,4.1,*,!,2100,!,!,!,8600,!,!,!,16900,!,!,!,32300,!,!,4400,75100,5.8,*,4400,71800,6.1,*,!,2200,!,!,!,3400,!,!,1900,17400,11.2,*,1400,27200,5.2,*
lacu:Greenwich,9900,151900,6.5,2.6,9200,147700,6.3,2.6,1700,3400,48.6,*,1400,8700,15.9,*,2300,41900,5.4,*,1200,58000,2.2,*,5400,82700,6.6,3.6,4800,79300,6.1,3.5,!,!,!,!,!,4500,!,!,1900,25100,7.5,*,!,31300,!,!,4400,69100,6.4,3.7,4400,68400,6.5,3.7,1700,2300,73.1,*,!,4200,!,!,!,16800,!,!,!,26700,!,!
lacu:Hackney,9000,152800,5.9,2.4,8800,150600,5.8,2.4,2100,4700,43.3,*,2000,14800,13.4,*,1400,49900,2.9,*,1600,50900,3.2,*,6000,84500,7,3.7,5800,83100,6.9,3.7,1700,2500,69.1,*,!,8800,!,!,!,27400,!,!,1300,27000,4.8,*,3000,68300,4.4,*,3000,67500,4.5,*,!,2200,!,!,!,6000,!,!,!,22500,!,!,!,23900,!,!
lacu:Hammersmith and Fulham,5700,105600,5.4,2.5,5400,103100,5.2,2.5,!,!,!,!,!,6400,!,!,!,40500,!,!,2600,37600,6.8,*,3100,57000,5.4,3.5,3100,55400,5.6,3.6,!,!,!,-,!,2300,!,!,!,22000,!,!,1500,22500,6.8,*,2600,48600,5.3,*,2300,47700,4.8,*,!,!,!,!,!,4000,!,!,!,18400,!,!,!,15100,!,!
lacu:Haringey,7500,156400,4.8,2,7500,152400,4.9,2.1,900,3000,31.9,*,1100,11800,9.7,*,1700,47700,3.5,*,2200,58900,3.8,*,3800,84700,4.4,*,3800,83100,4.5,*,!,1500,!,!,!,7500,!,!,!,22500,!,!,!,36300,!,!,3800,71700,5.3,3,3800,69300,5.5,3.1,!,1500,!,!,!,4300,!,!,!,25200,!,!,1900,22600,8.2,*
lacu:Harrow,3500,129300,2.7,1.5,3500,123800,2.8,1.6,!,1600,!,!,!,11900,!,!,#,34700,3,*,1100,44100,2.6,*,1700,72800,2.4,*,1700,69600,2.5,*,!,1100,!,!,!,7000,!,!,!,20700,!,!,800,24600,3.3,*,1800,56500,3.2,*,1800,54200,3.3,*,!,!,!,!,!,4900,!,!,!,14000,!,!,!,19500,!,!
lacu:Havering,6600,138400,4.8,2,6600,133000,5,2.1,800,5100,15,*,1400,16100,8.8,*,1800,36800,4.9,*,!,39600,!,!,4100,70800,5.7,3,4100,68900,5.9,3.1,800,3600,20.9,*,!,7300,!,!,1400,21700,6.6,*,!,18800,!,!,2600,67600,3.8,*,2600,64100,4,*,!,1400,!,!,!,8700,!,!,!,15100,!,!,!,20900,!,!
lacu:Hillingdon,6700,159800,4.2,2,6400,156400,4.1,2,!,2900,!,!,2200,15000,14.7,*,!,40800,!,!,1900,59400,3.2,*,3600,87100,4.1,*,3600,85000,4.2,*,!,!,!,-,!,7500,!,!,!,22500,!,!,1600,33700,4.7,*,3100,72800,4.3,*,2800,71400,3.9,*,!,2100,!,!,1700,7500,22,*,!,18300,!,!,!,25700,!,!
lacu:Hounslow,9400,152400,6.2,3.1,9400,148800,6.3,3.2,!,4500,!,!,!,5900,!,!,2000,46900,4.2,*,1700,58600,2.9,*,8300,87700,9.5,*,8300,86000,9.7,*,!,2900,!,!,!,4500,!,!,!,23900,!,!,!,35100,!,!,!,64700,!,!,!,62800,!,!,!,1600,!,!,!,!,!,!,!,23100,!,!,!,23500,!,!
lacu:Islington,7400,147300,5,2.3,7400,141300,5.2,2.5,!,2800,!,!,1300,9200,13.6,*,3400,66400,5.1,*,2200,43300,5.1,*,3600,77200,4.6,*,3600,74000,4.8,*,!,!,!,-,!,3900,!,!,2600,36100,7.1,*,!,23000,!,!,3800,70000,5.4,3.5,3800,67300,5.7,3.6,!,2800,!,!,!,5400,!,!,!,30300,!,!,1800,20300,9.1,*
lacu:Kensington and Chelsea,5800,73800,7.8,3.1,5800,67200,8.6,3.4,!,900,!,!,1200,4000,29.9,*,1600,16200,9.8,*,1600,27800,5.9,*,2400,40900,5.9,3.7,2400,36700,6.5,4.2,!,!,!,-,!,1100,!,!,!,7800,!,!,1000,16100,6.2,*,3400,32900,10.2,5.1,3400,30500,11.1,5.6,!,!,!,!,!,2900,!,!,1300,8400,15.4,*,700,11700,5.5,*
lacu:Kingston upon Thames,6700,96600,7,2.7,6600,92800,7.1,2.8,!,1600,!,!,!,5500,!,!,1000,21100,4.6,*,1600,41100,3.8,*,4100,54200,7.6,3.8,4000,51800,7.7,4,!,1400,!,!,!,4500,!,!,!,10400,!,!,800,22300,3.7,*,2600,42300,6.2,3.7,2600,41000,6.4,3.8,!,!,!,!,!,900,!,!,!,10700,!,!,700,18900,3.8,*
lacu:Lambeth,14600,205700,7.1,2.7,14200,201100,7.1,2.7,!,5800,!,!,3300,20900,16,*,4400,71900,6.1,*,1700,66400,2.5,*,7400,108300,6.9,3.7,7000,104900,6.7,3.7,!,4300,!,!,2000,9200,21.3,*,2000,37800,5.4,*,!,35400,!,!,7200,97400,7.4,3.9,7200,96200,7.5,4,!,1400,!,!,!,11700,!,!,2300,34200,6.9,*,1700,31000,5.4,*
lacu:Lewisham,7900,177800,4.4,2,7900,174500,4.5,2.1,!,3200,!,!,2000,12100,16.5,*,2800,62100,4.5,*,1800,68100,2.7,*,4400,98100,4.5,*,4400,96300,4.6,*,!,1400,!,!,1400,5100,28,*,1800,35200,5.1,*,!,37800,!,!,3400,79700,4.3,*,3400,78300,4.4,*,!,1800,!,!,!,7000,!,!,!,26900,!,!,!,30300,!,!
lacu:Merton,4800,121400,3.9,2,4500,118100,3.8,2,!,2400,!,!,1200,11000,10.8,*,1300,32600,3.9,*,1200,41000,3,*,1800,63900,2.9,*,1600,61900,2.6,*,!,1200,!,!,!,5400,!,!,!,16700,!,!,!,21900,!,!,2900,57500,5.1,*,2900,56300,5.2,*,!,1200,!,!,!,5500,!,!,!,15900,!,!,1200,19100,6.3,*
lacu:Newham,10100,182200,5.5,2.7,10100,179200,5.6,2.7,!,3100,!,!,3200,23400,13.6,*,3100,51800,6.1,*,1600,75500,2.2,*,6100,112000,5.4,*,6100,110600,5.5,*,!,!,!,!,!,10300,!,!,3100,33600,9.4,*,!,46800,!,!,4000,70200,5.7,*,4000,68600,5.9,*,!,2300,!,!,!,13000,!,!,!,18300,!,!,!,28700,!,!
lacu:Redbridge,7800,149400,5.2,2.1,7800,146600,5.3,2.1,1300,3400,38.5,*,1800,16800,10.8,*,!,40500,!,!,1800,54600,3.3,*,3600,86300,4.2,2.5,3600,84500,4.3,2.5,!,1300,!,!,1000,8600,12.2,*,!,25100,!,!,900,32500,2.9,*,4100,63100,6.6,3.5,4100,62200,6.7,3.5,1100,2100,50.1,*,!,8200,!,!,!,15300,!,!,900,22100,4,*
lacu:Richmond upon Thames,3500,108300,3.3,1.9,3500,99800,3.5,2,!,1100,!,!,1500,6800,22.8,*,!,20700,!,!,1400,42500,3.2,*,2800,56700,4.9,*,2800,52200,5.3,*,!,!,!,!,1500,4600,33.5,*,!,9500,!,!,!,23600,!,!,800,51600,1.5,*,800,47600,1.6,*,!,!,!,!,!,2200,!,!,!,11200,!,!,800,18900,4.1,*
lacu:Southwark,12300,198000,6.2,2.3,12300,192100,6.4,2.4,1400,2000,71.6,*,1800,19400,9.3,*,2500,72300,3.5,*,4300,64500,6.7,*,6300,103500,6,3.3,6300,100500,6.2,3.4,!,1300,!,!,!,7800,!,!,!,36100,!,!,3700,38100,9.7,*,6000,94500,6.4,3.2,6000,91600,6.6,3.3,!,!,!,-,!,11600,!,!,1400,36100,3.8,*,!,26300,!,!
lacu:Sutton,4800,111800,4.3,2,4800,108400,4.5,2.1,!,3000,!,!,1100,8300,13.1,*,900,24100,3.9,*,1300,46500,2.8,*,1800,58700,3,*,1800,57200,3.1,*,!,1100,!,!,!,2900,!,!,!,14500,!,!,800,24900,3.3,*,3100,53100,5.7,3.3,3100,51200,6,3.4,!,1900,!,!,!,5400,!,!,900,9600,9.7,*,!,21700,!,!
lacu:Tower Hamlets,10100,178500,5.6,2.7,10100,178100,5.7,2.7,!,2300,!,!,1800,19800,9.2,*,2300,84900,2.7,*,4300,55300,7.8,*,4100,107000,3.8,*,4100,106600,3.8,*,!,!,!,-,!,9300,!,!,2300,53300,4.3,*,!,34500,!,!,6000,71500,8.4,*,6000,71500,8.4,*,!,#,!,!,1800,10400,17.4,*,!,31500,!,!,3700,20800,17.7,*
lacu:Waltham Forest,4300,154600,2.8,*,4300,150300,2.9,*,!,3900,!,!,!,6600,!,!,2200,48900,4.6,*,!,60500,!,!,1800,83900,2.2,*,1800,80700,2.3,*,!,3000,!,!,!,1800,!,!,!,29200,!,!,!,32100,!,!,2500,70600,3.6,*,2500,69600,3.6,*,!,!,!,!,!,4800,!,!,!,19700,!,!,!,28400,!,!
lacu:Wandsworth,7700,201000,3.8,2,7400,195900,3.8,2,!,3700,!,!,!,9900,!,!,2500,75500,3.3,*,1500,69400,2.1,*,3300,101000,3.3,*,3000,98200,3,*,!,2400,!,!,!,4900,!,!,!,37400,!,!,!,36800,!,!,4400,100000,4.4,*,4400,97600,4.5,*,!,#,!,!,!,5000,!,!,1900,38100,4.9,*,!,32600,!,!
lacu:Westminster,6600,130300,5.1,2.5,6600,124200,5.3,2.6,!,!,!,-,1400,6300,22.7,*,!,40700,!,!,1200,52300,2.2,*,5400,75000,7.2,4,5400,71100,7.5,4.3,!,!,!,-,1100,4300,26.2,*,!,23200,!,!,!,29700,!,!,1300,55300,2.3,*,1300,53100,2.4,*,!,!,!,-,!,2000,!,!,!,17500,!,!,!,22700,!,!
country:England,1175300,28398800,4.1,0.1,1159100,27328200,4.2,0.1,180600,1039400,17.4,1.3,240300,2522500,9.5,0.7,243600,6543100,3.7,0.3,262900,9453700,2.8,0.2,621600,15115300,4.1,0.2,611200,14466300,4.2,0.2,99100,532100,18.6,1.8,134300,1325600,10.1,1,123800,3531200,3.5,0.4,126500,5003200,2.5,0.2,553700,13283500,4.2,0.2,547900,12862000,4.3,0.2,81500,507400,16.1,1.7,106100,1196900,8.9,1,119800,3011900,4,0.4,136400,4450600,3.1,0.3
gor:London,241600,4861400,5,0.4,238200,4713200,5.1,0.4,27100,106300,25.5,5.3,44300,374100,11.8,2.4,58600,1438700,4.1,0.7,62100,1746900,3.6,0.5,127800,2652800,4.8,0.5,125000,2567000,4.9,0.6,17200,57100,30.1,7.6,24300,189500,12.8,3.5,32600,790300,4.1,1.1,27900,976100,2.9,0.7,113800,2208600,5.2,0.6,113200,2146200,5.3,0.6,9900,49300,20.2,7.2,20000,184700,10.8,3.2,26000,648400,4,1,34200,770800,4.4,0.9
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,These figures are suppressed as statistically unreliable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
!,Estimate and confidence interval not available since the group sample size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,is zero or disclosive (0-2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*,Estimate and confidence interval unreliable since the group sample size is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,small (3-9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-,These figures are missing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Population Survey (APS) responses are weighted to official population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,projections. As the current projections are 2018-based they are based on,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,demographic trends that pre-date the COVID-19 pandemic. We are analysing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,the population totals used in the weighting process and may make,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,adjustments if appropriate. Rates published from the APS remain robust;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"however, levels and changes in levels should be used with caution. This",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"will particularly affect estimates for country of birth, nationality,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ethnicity and disability. This affects all APS periods from April 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,to March 2020 onwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Health and disability variables for APS periods ending Mar 2020,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun 2020 and Sep 2020 were revised on 2 March 2021.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,For more details see [http://www.nomisweb.co.uk/articles/1247.aspx],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
